cancer_type,model,f1,mean_prob,n_samples,n_valid
Cervical Cancer,o3-mini,0.8227848101265823,0.7352941176470589,102,102
Cervical Cancer,gpt-4o,0.7703703703703704,0.7933333333333333,102,102
Cervical Cancer,medgemma,0.7951807228915663,0.9401960784313724,102,102
Cervical Cancer,qwen3,0.8539325842696629,0.9242156862745098,102,102
Cervical Cancer,claude-sonnet-37,0.847682119205298,0.8397058823529412,102,102
Cervical Cancer,claude-sonnet-45,0.8413793103448276,0.7004901960784311,102,102
Cervical Cancer,claude-opus-45,0.8450704225352113,0.6854901960784311,102,102
Cervical Cancer,deepseek,0.8539325842696629,0.8823529411764701,102,102
Cervical Cancer,deepseek-r1,0.8026315789473685,0.7330392156862745,102,102
Cervical Cancer,qwen3-vl-235b-a22b,0.8280254777070064,0.735294117647059,102,102
Cervical Cancer,AlphaMissense,0.9090909090909091,0.9149725490196079,102,102
Mature T and NK Neoplasms,gpt-5,0.8776978417266187,0.8571134020618558,97,97
Mature T and NK Neoplasms,o3-mini,0.8831168831168831,0.8108247422680411,97,97
Mature T and NK Neoplasms,gpt-4o,0.8187919463087249,0.8285567010309276,97,97
Mature T and NK Neoplasms,medgemma,0.8395061728395061,0.9438144329896906,97,97
Mature T and NK Neoplasms,qwen3,0.8452380952380952,0.9450515463917523,97,97
Mature T and NK Neoplasms,claude-sonnet-37,0.8843537414965986,0.8449484536082473,97,97
Mature T and NK Neoplasms,claude-sonnet-45,0.8322147651006712,0.7972164948453608,97,97
Mature T and NK Neoplasms,claude-opus-45,0.9115646258503401,0.7563917525773195,97,97
Mature T and NK Neoplasms,deepseek,0.8452380952380952,0.9231958762886596,97,97
Mature T and NK Neoplasms,deepseek-r1,0.8627450980392157,0.801958762886598,97,97
Mature T and NK Neoplasms,qwen3-vl-235b-a22b,0.8461538461538461,0.8159793814432991,97,97
Mature T and NK Neoplasms,AlphaMissense,0.9315068493150684,0.9308731958762886,97,97
Myelodysplastic Syndromes,gpt-5,0.9529411764705882,0.8802083333333334,96,96
Myelodysplastic Syndromes,o3-mini,0.9651162790697675,0.8561458333333333,96,96
Myelodysplastic Syndromes,gpt-4o,0.9212121212121213,0.8330208333333332,96,96
Myelodysplastic Syndromes,medgemma,0.9265536723163842,0.9437499999999998,96,96
Myelodysplastic Syndromes,qwen3,0.9273743016759777,0.9402083333333332,96,96
Myelodysplastic Syndromes,claude-sonnet-37,0.9418604651162791,0.9008333333333333,96,96
Myelodysplastic Syndromes,claude-sonnet-45,0.9221556886227545,0.8411458333333331,96,96
Myelodysplastic Syndromes,claude-opus-45,0.9534883720930233,0.8438541666666666,96,96
Myelodysplastic Syndromes,deepseek,0.9273743016759777,0.9354166666666665,96,96
Myelodysplastic Syndromes,deepseek-r1,0.9473684210526315,0.8595833333333333,96,96
Myelodysplastic Syndromes,qwen3-vl-235b-a22b,0.9431818181818182,0.899375,96,96
Myelodysplastic Syndromes,AlphaMissense,0.9454545454545454,0.9497739583333334,96,96
Myelodysplastic Workup,gpt-5,0.9299363057324841,0.8373626373626374,91,91
Myelodysplastic Workup,o3-mini,0.9447852760736196,0.8430769230769231,91,91
Myelodysplastic Workup,gpt-4o,0.8874172185430463,0.832197802197802,91,91
Myelodysplastic Workup,medgemma,0.9156626506024096,0.9467032967032966,91,91
Myelodysplastic Workup,qwen3,0.9411764705882353,0.9217582417582415,91,91
Myelodysplastic Workup,claude-sonnet-37,0.8648648648648649,0.8613186813186814,91,91
Myelodysplastic Workup,claude-sonnet-45,0.906832298136646,0.8502197802197803,91,91
Myelodysplastic Workup,claude-opus-45,0.9259259259259259,0.8259340659340657,91,91
Myelodysplastic Workup,deepseek,0.9418604651162791,0.9148351648351645,91,91
Myelodysplastic Workup,deepseek-r1,0.896969696969697,0.8267032967032965,91,91
Myelodysplastic Workup,qwen3-vl-235b-a22b,0.9325153374233128,0.8329670329670329,91,91
Myelodysplastic Workup,AlphaMissense,0.9559748427672956,0.9257153846153844,91,91
Germ Cell Tumor,gpt-5,0.9161290322580645,0.8809890109890108,91,91
Germ Cell Tumor,o3-mini,0.926829268292683,0.8446153846153848,91,91
Germ Cell Tumor,gpt-4o,0.8115942028985508,0.8005494505494505,91,91
Germ Cell Tumor,medgemma,0.9467455621301775,0.9335164835164832,91,91
Germ Cell Tumor,qwen3,0.9411764705882353,0.9373626373626374,91,91
Germ Cell Tumor,claude-sonnet-37,0.9308176100628931,0.8982417582417583,91,91
Germ Cell Tumor,claude-sonnet-45,0.8609271523178808,0.7658241758241758,91,91
Germ Cell Tumor,claude-opus-45,0.87248322147651,0.7528571428571428,91,91
Germ Cell Tumor,deepseek,0.935672514619883,0.929120879120879,91,91
Germ Cell Tumor,deepseek-r1,0.8741721854304636,0.7461538461538462,91,91
Germ Cell Tumor,qwen3-vl-235b-a22b,0.9056603773584906,0.8050549450549452,91,91
Germ Cell Tumor,AlphaMissense,0.9753086419753086,0.9508527472527472,91,91
B-Lymphoblastic Leukemia/Lymphoma,gpt-5,0.8421052631578947,0.8123809523809525,84,84
B-Lymphoblastic Leukemia/Lymphoma,o3-mini,0.8571428571428571,0.7717857142857144,84,84
B-Lymphoblastic Leukemia/Lymphoma,gpt-4o,0.8256880733944955,0.8184523809523809,84,84
B-Lymphoblastic Leukemia/Lymphoma,medgemma,0.7692307692307693,0.9357142857142858,84,84
B-Lymphoblastic Leukemia/Lymphoma,qwen3,0.7647058823529411,0.9344047619047618,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-sonnet-37,0.8301886792452831,0.8282142857142858,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-sonnet-45,0.7307692307692307,0.7002380952380952,84,84
B-Lymphoblastic Leukemia/Lymphoma,claude-opus-45,0.8712871287128713,0.6783333333333333,84,84
B-Lymphoblastic Leukemia/Lymphoma,deepseek,0.7647058823529411,0.9142857142857144,84,84
B-Lymphoblastic Leukemia/Lymphoma,deepseek-r1,0.831858407079646,0.7364285714285715,84,84
B-Lymphoblastic Leukemia/Lymphoma,qwen3-vl-235b-a22b,0.8173913043478261,0.7191666666666666,84,84
B-Lymphoblastic Leukemia/Lymphoma,AlphaMissense,0.8785046728971962,0.9290916666666665,84,84
