cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Soft Tissue Sarcoma,gpt-5,13.446372239747634,0.6057413249211356,2536,2536
Soft Tissue Sarcoma,gpt-4o,4.069537732121691,0.6856538917423942,2536,2531
Soft Tissue Sarcoma,o3-mini,8.635646687697161,0.8055599369085173,2536,2536
Soft Tissue Sarcoma,medgemma,15.457413249211358,0.7760055205047318,2536,2536
Soft Tissue Sarcoma,qwen3,4.827280779450841,0.8941718334809566,2536,2258
Soft Tissue Sarcoma,qwen3-vl-235b-a22b,10.646687697160884,0.7141719242902208,2536,2536
Soft Tissue Sarcoma,deepseek,4.500642948992714,0.7685169309901414,2536,2333
Soft Tissue Sarcoma,deepseek-r1,13.722397476340694,0.6634384858044164,2536,2536
Soft Tissue Sarcoma,claude-sonnet-37,5.402208201892744,0.6400236593059937,2536,2536
Soft Tissue Sarcoma,claude-sonnet-45,9.621451104100947,0.6400355450236966,2536,2536
Soft Tissue Sarcoma,claude-opus-45,13.052050473186119,0.4249842146803473,2536,2536
Hepatobiliary Cancer,GDD-ENS,17.04918032786885,0.5700988114754098,2440,2440
Hepatobiliary Cancer,gpt-5,9.508196721311474,0.6099590163934426,2440,2440
Hepatobiliary Cancer,gpt-4o,0.9921455146754857,0.684510128152129,2440,2419
Hepatobiliary Cancer,o3-mini,5.081967213114754,0.8000245901639345,2440,2440
Hepatobiliary Cancer,medgemma,0.24590163934426232,0.7853688524590163,2440,2440
Hepatobiliary Cancer,qwen3,0.7380073800738007,0.8895341328413283,2440,2168
Hepatobiliary Cancer,qwen3-vl-235b-a22b,1.639344262295082,0.7165081967213115,2440,2440
Hepatobiliary Cancer,deepseek,0.13186813186813187,0.7455824175824176,2440,2275
Hepatobiliary Cancer,deepseek-r1,3.606557377049181,0.6657745901639344,2440,2440
Hepatobiliary Cancer,claude-sonnet-37,4.672131147540984,0.6621762295081968,2440,2440
Hepatobiliary Cancer,claude-sonnet-45,6.311475409836066,0.658700495049505,2440,2440
Hepatobiliary Cancer,claude-opus-45,8.811475409836065,0.4700861008610086,2440,2440
Thyroid Cancer,GDD-ENS,55.662909286097694,0.6240452495974236,1863,1863
Thyroid Cancer,gpt-5,33.33333333333333,0.6180515297906601,1863,1863
Thyroid Cancer,gpt-4o,10.221741481882098,0.7121092482422932,1863,1849
Thyroid Cancer,o3-mini,20.719269994632313,0.8093344068706387,1863,1863
Thyroid Cancer,medgemma,1.6639828234031133,0.7991411701556628,1863,1863
Thyroid Cancer,qwen3,1.386481802426343,0.8906065857885614,1863,1731
Thyroid Cancer,qwen3-vl-235b-a22b,3.6500268384326358,0.7480300590445518,1863,1863
Thyroid Cancer,deepseek,5.885815185403178,0.7733961153619776,1863,1699
Thyroid Cancer,deepseek-r1,14.278046162104133,0.6621846484165326,1863,1863
Thyroid Cancer,claude-sonnet-37,11.808910359634996,0.705077831454643,1863,1863
Thyroid Cancer,claude-sonnet-45,12.775093934514226,0.6613501882732651,1863,1863
