cancer_type,model,precision,mean_prob,n_samples,n_valid
Renal Cell Carcinoma,deepseek,1.0,0.7630601792573622,1695,1562
Renal Cell Carcinoma,deepseek-r1,1.0,0.7402300884955751,1695,1695
Renal Cell Carcinoma,claude-sonnet-37,1.0,0.7297109144542773,1695,1695
Renal Cell Carcinoma,claude-sonnet-45,1.0,0.7352687536916716,1695,1695
Renal Cell Carcinoma,claude-opus-45,1.0,0.5943801652892561,1695,1695
Head and Neck Cancer,GDD-ENS,1.0,0.48816691776522286,1593,1593
Head and Neck Cancer,gpt-5,1.0,0.5696672944130572,1593,1593
Head and Neck Cancer,gpt-4o,1.0,0.6502216592780241,1593,1579
Head and Neck Cancer,o3-mini,1.0,0.7832580037664784,1593,1593
Head and Neck Cancer,medgemma,0.0,0.771531701192718,1593,1593
Head and Neck Cancer,qwen3,1.0,0.8867582804792107,1593,1419
Head and Neck Cancer,qwen3-vl-235b-a22b,1.0,0.6694601381042058,1593,1593
Head and Neck Cancer,deepseek,1.0,0.7174645987862439,1593,1483
Head and Neck Cancer,deepseek-r1,1.0,0.6363276836158193,1593,1593
Head and Neck Cancer,claude-sonnet-37,1.0,0.5863088512241055,1593,1593
Head and Neck Cancer,claude-sonnet-45,1.0,0.5979321181646763,1593,1593
Head and Neck Cancer,claude-opus-45,1.0,0.39459798994974876,1593,1593
CNS Cancer,GDD-ENS,1.0,0.5291193704600484,1239,1239
CNS Cancer,gpt-5,1.0,0.6447780468119451,1239,1239
CNS Cancer,gpt-4o,1.0,0.6898047192839707,1239,1229
CNS Cancer,o3-mini,1.0,0.8173365617433412,1239,1239
CNS Cancer,medgemma,1.0,0.7658192090395479,1239,1239
CNS Cancer,qwen3,1.0,0.886988382484361,1239,1119
CNS Cancer,qwen3-vl-235b-a22b,1.0,0.7103793381759483,1239,1239
CNS Cancer,deepseek,1.0,0.788682745825603,1239,1078
CNS Cancer,deepseek-r1,1.0,0.6416061339790153,1239,1239
CNS Cancer,claude-sonnet-37,1.0,0.6716707021791768,1239,1239
CNS Cancer,claude-sonnet-45,1.0,0.6448778501628665,1239,1239
CNS Cancer,claude-opus-45,1.0,0.41948345439870866,1239,1239
Gastrointestinal Stromal Tumor,GDD-ENS,1.0,0.7778963555555555,1125,1125
Gastrointestinal Stromal Tumor,gpt-5,1.0,0.8429066666666667,1125,1125
Gastrointestinal Stromal Tumor,gpt-4o,1.0,0.7934704830053666,1125,1118
Gastrointestinal Stromal Tumor,o3-mini,1.0,0.8843822222222222,1125,1125
Gastrointestinal Stromal Tumor,medgemma,1.0,0.8359555555555556,1125,1125
Gastrointestinal Stromal Tumor,qwen3,1.0,0.9177734374999998,1125,1024
Gastrointestinal Stromal Tumor,qwen3-vl-235b-a22b,1.0,0.819351111111111,1125,1125
Gastrointestinal Stromal Tumor,deepseek,1.0,0.8310863239573228,1125,1031
Gastrointestinal Stromal Tumor,deepseek-r1,1.0,0.84256,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-37,1.0,0.8189155555555555,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-45,1.0,0.7998843416370106,1125,1125
Gastrointestinal Stromal Tumor,claude-opus-45,1.0,0.6788444444444444,1125,1125
Bone Cancer,GDD-ENS,1.0,0.6296965151515151,660,660
Bone Cancer,gpt-5,1.0,0.6100757575757575,660,660
Bone Cancer,gpt-4o,1.0,0.6941679389312977,660,655
Bone Cancer,o3-mini,1.0,0.8056818181818182,660,660
Bone Cancer,medgemma,1.0,0.775530303030303,660,660
