cancer_type,model,f1,mean_prob,n_samples,n_valid
Soft Tissue Sarcoma,claude-opus-45,0.23090338332752008,0.4249842146803473,2536,2536
Hepatobiliary Cancer,GDD-ENS,0.2913165266106443,0.5700988114754098,2440,2440
Hepatobiliary Cancer,gpt-5,0.17365269461077845,0.6099590163934426,2440,2440
Hepatobiliary Cancer,gpt-4o,0.019647973802701595,0.684510128152129,2440,2419
Hepatobiliary Cancer,o3-mini,0.0967238689547582,0.8000245901639345,2440,2440
Hepatobiliary Cancer,medgemma,0.004905968928863451,0.7853688524590163,2440,2440
Hepatobiliary Cancer,qwen3,0.014652014652014652,0.8895341328413283,2440,2168
Hepatobiliary Cancer,qwen3-vl-235b-a22b,0.03225806451612903,0.7165081967213115,2440,2440
Hepatobiliary Cancer,deepseek,0.0026338893766461808,0.7455824175824176,2440,2275
Hepatobiliary Cancer,deepseek-r1,0.06962025316455696,0.6657745901639344,2440,2440
Hepatobiliary Cancer,claude-sonnet-37,0.08927173061863743,0.6621762295081968,2440,2440
Hepatobiliary Cancer,claude-sonnet-45,0.11873554356206632,0.658700495049505,2440,2440
Hepatobiliary Cancer,claude-opus-45,0.16195856873822975,0.4700861008610086,2440,2440
Thyroid Cancer,GDD-ENS,0.7151724137931035,0.6240452495974236,1863,1863
Thyroid Cancer,gpt-5,0.5,0.6180515297906601,1863,1863
Thyroid Cancer,gpt-4o,0.18547595682041218,0.7121092482422932,1863,1849
Thyroid Cancer,o3-mini,0.34326367274344155,0.8093344068706387,1863,1863
Thyroid Cancer,medgemma,0.03273495248152059,0.7991411701556628,1863,1863
Thyroid Cancer,qwen3,0.02735042735042735,0.8906065857885614,1863,1731
Thyroid Cancer,qwen3-vl-235b-a22b,0.07042982910409112,0.7480300590445518,1863,1863
Thyroid Cancer,deepseek,0.11117287381878821,0.7733961153619776,1863,1699
Thyroid Cancer,deepseek-r1,0.2498825739783936,0.6621846484165326,1863,1863
Thyroid Cancer,claude-sonnet-37,0.21123379740758522,0.705077831454643,1863,1863
Thyroid Cancer,claude-sonnet-45,0.22655878153260353,0.6613501882732651,1863,1863
Thyroid Cancer,claude-opus-45,0.3178329571106095,0.486784755770263,1863,1863
Renal Cell Carcinoma,GDD-ENS,0.6880804953560371,0.693889616519174,1695,1695
Renal Cell Carcinoma,gpt-5,0.725084618277548,0.7200589970501475,1695,1695
Renal Cell Carcinoma,gpt-4o,0.6884226884226884,0.7264277251184834,1695,1688
Renal Cell Carcinoma,o3-mini,0.6911196911196911,0.84905604719764,1695,1695
Renal Cell Carcinoma,medgemma,0.5033112582781457,0.8033333333333332,1695,1695
Renal Cell Carcinoma,qwen3,0.4879053010808029,0.8959632402995233,1695,1469
Renal Cell Carcinoma,qwen3-vl-235b-a22b,0.6721504112808461,0.7538053097345132,1695,1695
Renal Cell Carcinoma,deepseek,0.5883416177135111,0.7630601792573622,1695,1562
Renal Cell Carcinoma,deepseek-r1,0.7001533742331288,0.7402300884955751,1695,1695
Renal Cell Carcinoma,claude-sonnet-37,0.7149355572403336,0.7297109144542773,1695,1695
Renal Cell Carcinoma,claude-sonnet-45,0.6793922867160109,0.7352687536916716,1695,1695
Renal Cell Carcinoma,claude-opus-45,0.6890951276102089,0.5943801652892561,1695,1695
Head and Neck Cancer,GDD-ENS,0.03211859172328598,0.48816691776522286,1593,1593
Head and Neck Cancer,gpt-5,0.4921911973497397,0.5696672944130572,1593,1593
Head and Neck Cancer,gpt-4o,0.10216346153846154,0.6502216592780241,1593,1579
Head and Neck Cancer,o3-mini,0.25424657534246575,0.7832580037664784,1593,1593
Head and Neck Cancer,medgemma,0.0,0.771531701192718,1593,1593
Head and Neck Cancer,qwen3,0.0759322033898305,0.8867582804792107,1593,1419
Head and Neck Cancer,qwen3-vl-235b-a22b,0.04059040590405904,0.6694601381042058,1593,1593
Head and Neck Cancer,deepseek,0.0013477088948787063,0.7174645987862439,1593,1483
Head and Neck Cancer,deepseek-r1,0.13575190169689877,0.6363276836158193,1593,1593
Head and Neck Cancer,claude-sonnet-37,0.23000000000000004,0.5863088512241055,1593,1593
Head and Neck Cancer,claude-sonnet-45,0.1783876500857633,0.5979321181646763,1593,1593
Head and Neck Cancer,claude-opus-45,0.2532894736842105,0.39459798994974876,1593,1593
CNS Cancer,GDD-ENS,0.5302491103202847,0.5291193704600484,1239,1239
CNS Cancer,gpt-5,0.6078651685393258,0.6447780468119451,1239,1239
CNS Cancer,gpt-4o,0.15880149812734082,0.6898047192839707,1239,1229
CNS Cancer,o3-mini,0.3621943159286186,0.8173365617433412,1239,1239
CNS Cancer,medgemma,0.14382022471910114,0.7658192090395479,1239,1239
CNS Cancer,qwen3,0.015957446808510637,0.886988382484361,1239,1119
CNS Cancer,qwen3-vl-235b-a22b,0.0016129032258064516,0.7103793381759483,1239,1239
CNS Cancer,deepseek,0.01107011070110701,0.788682745825603,1239,1078
CNS Cancer,deepseek-r1,0.0967741935483871,0.6416061339790153,1239,1239
CNS Cancer,claude-sonnet-37,0.0223463687150838,0.6716707021791768,1239,1239
CNS Cancer,claude-sonnet-45,0.06103286384976526,0.6448778501628665,1239,1239
CNS Cancer,claude-opus-45,0.04110671936758893,0.41948345439870866,1239,1239
Gastrointestinal Stromal Tumor,GDD-ENS,0.8721804511278195,0.7778963555555555,1125,1125
Gastrointestinal Stromal Tumor,gpt-5,0.9331436699857751,0.8429066666666667,1125,1125
Gastrointestinal Stromal Tumor,gpt-4o,0.843846949327818,0.7934704830053666,1125,1118
Gastrointestinal Stromal Tumor,o3-mini,0.9093553078041687,0.8843822222222222,1125,1125
Gastrointestinal Stromal Tumor,medgemma,0.5659655831739961,0.8359555555555556,1125,1125
Gastrointestinal Stromal Tumor,qwen3,0.6727154893065457,0.9177734374999998,1125,1024
Gastrointestinal Stromal Tumor,qwen3-vl-235b-a22b,0.8145416227608009,0.819351111111111,1125,1125
Gastrointestinal Stromal Tumor,deepseek,0.7449786975045648,0.8310863239573228,1125,1031
Gastrointestinal Stromal Tumor,deepseek-r1,0.9193083573487032,0.84256,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-37,0.9119922630560928,0.8189155555555555,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-45,0.8721804511278195,0.7998843416370106,1125,1125
Gastrointestinal Stromal Tumor,claude-opus-45,0.9013671875,0.6788444444444444,1125,1125
Bone Cancer,GDD-ENS,0.7452471482889734,0.6296965151515151,660,660
Bone Cancer,gpt-5,0.13295615275813297,0.6100757575757575,660,660
Bone Cancer,gpt-4o,0.035982008995502246,0.6941679389312977,660,655
Bone Cancer,o3-mini,0.10616929698708753,0.8056818181818182,660,660
Bone Cancer,medgemma,0.015037593984962405,0.775530303030303,660,660
Bone Cancer,qwen3,0.0,0.8964395229982964,660,587
Bone Cancer,qwen3-vl-235b-a22b,0.0,0.7279393939393939,660,660
Bone Cancer,deepseek,0.0,0.7533171521035598,660,618
Bone Cancer,deepseek-r1,0.03863298662704309,0.6671212121212122,660,660
Bone Cancer,claude-sonnet-37,0.0588235294117647,0.6385,660,660
Bone Cancer,claude-sonnet-45,0.05022156573116692,0.6551829268292683,660,660
Bone Cancer,claude-opus-45,0.018018018018018018,0.4393030303030303,660,660
Mesothelioma,GDD-ENS,0.5892018779342723,0.5850106489184692,601,601
Mesothelioma,gpt-5,0.4267015706806283,0.623361064891847,601,601
Mesothelioma,gpt-4o,0.26878612716763006,0.6812186978297162,601,599
Mesothelioma,o3-mini,0.4842370744010088,0.8120798668885191,601,601
Mesothelioma,medgemma,0.0033222591362126247,0.7866056572379367,601,601
Mesothelioma,qwen3,0.17275747508305647,0.8994727272727272,601,550
